"","X.2","X.1","X","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_rENTR","HR_LAM","HR_TT","HR_n","condition","RESP_TT","RESP_RR","RESP_NRLINE","RESP_maxL","RESP_L","RESP_ENTR","RESP_rENTR","RESP_LAM"
"1",1,1,1,3.64177342622116,82.3999041746521,30936,28,5.11446211533489,2.1851561642801,0.706931786687691,90.4950629114241,7.44079989722948,NA,1,0,3.8909567162193e-05,0,0,0,NA,NA,0
"2",2,2,2,3.69849763904888,85.9511571855853,27113,25,5.45845166525283,2.2055634398283,0.724436585685844,93.0539826349566,8.49009114031369,NA,2,3.24657534246575,0.00571678306242992,48,9,5.0625,2.04623406734138,0.984030580483822,91.5057915057915
"3",3,3,3,0,NA,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,4,4,3.26241656524579,83.2634803830662,23154,20,4.84775848665457,2.01549232186253,0.684508096830423,93.0485805633239,6.79244056966481,NA,1,5,0.0317933016795634,207,24,5.56521739130435,2.24617551010365,0.851127970922524,90.9090909090909
"5",5,5,5,3.30251963293968,80.8501987395635,25782,25,4.47335350244357,1.85411739187988,0.629701415107871,92.3441454198768,6.14288379033762,NA,2,5.29014084507042,0.0468507350349177,291,24,6.4914089347079,2.52300779784592,0.804660325963405,95.4753431621759
"6",6,6,6,0,NA,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,7,3.69927830617024,86.2080103359173,29635,30,5.673932849671,2.26552390408839,0.672802158905501,94.1250358886018,8.75525776145739,NA,1,2,0.000544733940270702,13,2,2,0,NA,100
"8",8,8,8,4.07046316226757,88.0930016569746,30493,29,5.47463352244777,2.16087564377695,0.655637924942767,93.8670831970111,7.82027609249978,NA,2,3,0.00236175979799228,23,11,4.08695652173913,1.80947352268404,0.870172825932048,75.7009345794392
"9",9,9,9,0,NA,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,10,3.92495768717775,84.5694890085121,37630,29,5.08509168216848,2.03729689250194,0.611396115178663,91.2514474114538,6.94510410710081,NA,1,6.21739130434783,0.0052253809907038,48,13,5.79166666666667,1.92866317254433,0.877772437300206,97.2789115646258
"11",11,11,11,3.19332792233418,82.8805632058406,32979,22,4.62639861730192,1.84100704663361,0.625248836759657,90.1346631249015,6.14798621660677,NA,2,2.66666666666667,0.00017773404730285,3,4,3,1.09861228866811,1,80
"12",12,12,12,3.50744110681357,85.1070985227278,33269,23,5.17250293065617,2.05260316515497,0.66404884310951,92.7862431193341,7.12997377722039,NA,3,2,0.00028437447568456,5,3,2.4,0.673011667009257,0.970950594454669,37.5
"13",13,13,13,3.60133793675829,85.2499420698953,28732,39,5.63399693721286,2.24206116780303,0.665834331464733,94.0584778075035,9.05965303844983,NA,1,3.5,0.00206220705959623,30,6,2.93333333333333,1.17901221711848,0.732561478768296,85.8490566037736
"14",14,14,14,3.48039185151279,83.2945547456968,26158,26,5.15953054514871,2.10779059912888,0.654821966987554,93.5469138621622,7.74883697152497,NA,2,2.51020408163265,0.0109479706523754,87,28,5.13793103448276,2.10365630293126,0.877292818746112,74.3951612903226
"15",15,15,15,0,NA,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,16,16,3.44273809278065,86.8824540099865,34040,30,5.06559929494712,2.16685474648749,0.643499964330782,89.7635375150529,7.04544016451791,NA,1,2.66666666666667,0.000622069165559976,5,9,6.6,1.33217904021012,0.960964047443681,91.4285714285714
"17",17,17,17,3.85024565462017,89.2520690758203,35997,30,5.50331972108787,2.20998801852532,0.704829244237794,93.0018607040039,8.45349932429665,NA,2,4.15384615384615,0.00108417768854739,8,9,5.5,1.49417513828931,0.928383211769586,88.5245901639344
"18",18,18,18,3.82202265091197,85.5640578762958,32307,33,5.83542266381899,2.36910240819242,0.710971490782797,93.0391409327742,9.21532928748033,NA,3,2.75,0.00021328085676342,3,5,4,1.09861228866811,1,91.6666666666667
"19",19,19,19,2.78222960341563,80.4270839827919,25791,31,5.00162847504944,2.18362350028477,0.642016106462378,85.9486252260116,6.85699363310784,NA,1,NA,8.88670236514252e-05,2,2,2,0,NA,0
"20",20,20,20,4.26507350383821,86.6817422002416,37771,32,5.6426094093352,2.24968353545376,0.690490140239952,93.0545444192734,8.58038627414213,NA,2,2.14285714285714,0.000657615975020546,7,12,4.57142857142857,1.47507631105469,0.916516443199602,40.5405405405405
"21",21,21,21,3.7788988726584,87.3699769561984,31650,33,6.01364928909953,2.40178751623315,0.706159404091803,92.9413438851299,9.36836017027577,NA,3,NA,0,0,0,0,NA,NA,NA
"22",22,22,22,3.79574247229002,85.0043643775392,37629,20,4.94310239442983,2.00530812388884,0.693788997353218,91.6610683813415,7.0486733438763,NA,1,NA,0,0,0,0,NA,NA,NA
"23",23,23,23,3.43997997502429,83.2639127014543,34197,22,4.82846448518876,1.9254689344008,0.653934059433588,91.3235976360006,6.45985375423578,NA,2,0,7.10936189211401e-05,0,0,0,NA,NA,0
"24",24,24,24,3.62702892953287,85.2289194656872,35452,29,5.02668396705405,2.0114169005979,0.603629487462683,92.9250900325695,6.93327148158721,NA,3,NA,0,0,0,0,NA,NA,NA
